Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,159.679993,160.350006,159.369995,160.160004,157.924911,13500
2018-12-04,160.080002,161.059998,156.580002,156.850006,154.661118,117400
2018-12-06,154.899994,155.520004,152.100006,155.399994,153.231339,26100
2018-12-07,155.990005,155.990005,152.259995,153.139999,151.002884,35000
2018-12-10,152.880005,153.589996,149.990005,153.270004,151.131073,52400
2018-12-11,153.880005,154.750000,151.830002,153.399994,151.259232,32900
2018-12-12,154.990005,155.979996,154.389999,154.389999,152.235443,23700
2018-12-13,154.550003,154.550003,152.850006,153.380005,151.239548,21000
2018-12-14,151.610001,152.429993,147.729996,148.179993,146.112091,16900
2018-12-17,146.949997,147.250000,143.729996,144.380005,142.703171,100500
2018-12-18,146.089996,146.089996,141.940002,143.050003,141.388611,71800
2018-12-19,143.309998,143.960007,139.270004,140.130005,138.502533,14900
2018-12-20,138.720001,139.889999,136.360001,137.279999,135.685608,21500
2018-12-21,137.649994,137.649994,134.059998,134.059998,132.503021,54500
2018-12-24,133.169998,133.800003,131.910004,132.009995,130.476822,14400
2018-12-26,132.050003,137.940002,131.919998,137.940002,136.337952,21100
2018-12-27,135.220001,137.910004,133.479996,137.910004,136.308304,24400
2018-12-28,138.820007,140.759995,137.789993,139.029999,137.415283,11800
2018-12-31,139.990005,140.770004,139.149994,140.770004,139.135086,93900
2019-01-02,138.479996,141.639999,138.479996,141.080002,139.441483,30600
2019-01-03,140.550003,140.550003,136.919998,137.009995,135.418747,12600
2019-01-04,139.539993,142.380005,138.960007,142.380005,140.726395,29300
2019-01-07,142.539993,145.699997,142.539993,144.699997,143.019424,12800
2019-01-08,146.240005,146.240005,144.000000,145.899994,144.205490,8500
2019-01-09,146.399994,146.399994,144.839996,145.059998,143.375259,18900
2019-01-10,145.000000,145.570007,143.649994,145.570007,143.879333,3300
2019-01-11,145.179993,146.350006,144.820007,146.350006,144.650299,15500
2019-01-14,145.169998,145.169998,144.610001,144.610001,142.930496,2700
2019-01-15,144.770004,146.630005,144.770004,146.500000,144.798523,16500
2019-01-16,147.169998,147.720001,145.720001,145.720001,144.027603,5200
2019-01-17,145.910004,147.500000,145.910004,146.800003,145.095062,4700
2019-01-18,147.220001,147.509995,146.580002,147.479996,145.767151,5500
2019-01-22,146.419998,146.500000,145.169998,145.899994,144.205490,9300
2019-01-23,146.110001,146.750000,144.839996,145.690002,143.997955,5200
2019-01-24,145.020004,145.020004,143.169998,143.619995,141.951965,5600
2019-01-25,144.369995,145.000000,144.369995,144.809998,143.128174,9400
2019-01-28,143.850006,144.639999,142.669998,143.009995,141.349060,32000
2019-01-29,142.990005,143.589996,142.399994,143.350006,141.685120,36200
2019-01-30,143.509995,145.240005,143.389999,145.240005,143.553177,6600
2019-01-31,144.809998,147.639999,144.809998,147.330002,145.618896,19200
2019-02-01,147.220001,148.240005,146.960007,147.889999,146.172394,30000
2019-02-04,147.399994,147.919998,146.860001,147.919998,146.202042,8800
2019-02-05,148.460007,150.139999,148.360001,148.440002,146.716003,5000
2019-02-06,147.860001,148.479996,146.720001,147.919998,146.202042,9400
2019-02-07,146.949997,147.009995,144.800003,145.410004,143.721207,6400
2019-02-08,144.729996,146.429993,144.729996,146.300003,144.600861,64700
2019-02-11,146.449997,146.550003,145.149994,145.910004,144.215393,13700
2019-02-12,146.490005,148.460007,146.490005,148.309998,146.587509,6200
2019-02-13,148.850006,149.250000,148.360001,148.809998,147.081711,9800
2019-02-14,148.229996,150.610001,148.229996,150.139999,148.396255,10600
2019-02-15,151.300003,152.240005,150.970001,152.240005,150.471863,4600
2019-02-19,151.520004,152.740005,151.520004,151.850006,150.086411,6400
2019-02-20,151.800003,151.800003,150.009995,150.759995,149.009048,5000
2019-02-21,150.660004,150.660004,148.910004,149.380005,147.645081,6400
2019-02-22,149.570007,151.889999,149.570007,151.880005,150.116058,7400
2019-02-25,152.309998,153.100006,152.039993,152.039993,150.274170,5500
2019-02-26,151.789993,152.869995,151.789993,152.070007,150.303848,5600
2019-02-27,151.639999,153.490005,151.639999,152.550003,150.778275,11400
2019-02-28,153.000000,155.479996,153.000000,154.660004,152.863754,6600
2019-03-01,155.350006,157.399994,155.320007,157.279999,155.453339,5500
2019-03-04,157.940002,158.559998,154.809998,156.259995,154.445175,5600
2019-03-05,156.259995,156.919998,155.699997,156.000000,154.188202,3200
2019-03-06,155.949997,156.000000,151.899994,152.119995,150.353256,8200
2019-03-07,152.130005,152.139999,150.679993,151.389999,149.631744,4800
2019-03-08,150.550003,150.779999,149.300003,150.779999,149.028824,2800
2019-03-11,150.779999,151.949997,150.539993,151.860001,150.096298,4300
2019-03-12,152.410004,153.710007,152.410004,152.889999,151.114319,2700
2019-03-13,153.520004,154.509995,153.300003,154.130005,152.339935,11400
2019-03-14,153.880005,153.960007,152.850006,152.910004,151.134094,11200
2019-03-15,153.089996,153.429993,152.259995,153.119995,151.341644,14700
2019-03-18,153.940002,154.429993,153.509995,153.929993,152.142242,11600
2019-03-19,154.179993,155.699997,154.179993,155.309998,153.506226,13800
2019-03-20,154.419998,155.070007,153.380005,154.160004,152.917999,6500
2019-03-21,153.449997,155.889999,153.449997,155.220001,153.969452,5900
2019-03-22,154.389999,154.389999,152.479996,152.479996,151.251526,9000
2019-03-25,152.250000,152.500000,151.429993,151.820007,150.596848,9700
2019-03-26,152.820007,154.139999,152.820007,153.179993,151.945877,6200
2019-03-27,153.289993,153.850006,151.630005,152.360001,151.132492,13900
2019-03-28,152.960007,153.380005,152.360001,153.059998,151.826859,24100
2019-03-29,153.050003,154.000000,153.050003,153.979996,152.739441,8200
2019-04-01,155.110001,155.110001,154.300003,154.300003,153.056870,3600
2019-04-02,154.330002,154.440002,153.830002,153.830002,152.590652,9700
2019-04-03,154.199997,154.289993,153.050003,153.630005,152.392258,11100
2019-04-04,153.500000,153.839996,152.839996,153.639999,152.402191,8000
2019-04-05,154.399994,155.149994,154.399994,154.520004,153.275101,4300
2019-04-08,154.649994,154.720001,154.320007,154.649994,153.404037,4400
2019-04-09,153.539993,153.539993,152.460007,152.479996,151.251526,2900
2019-04-10,152.770004,152.919998,152.350006,152.399994,151.172165,3000
2019-04-11,152.710007,153.339996,150.610001,151.070007,149.852890,22300
2019-04-12,151.360001,151.360001,149.750000,150.020004,148.811356,11500
2019-04-15,150.100006,150.639999,149.940002,150.639999,149.426346,6200
2019-04-16,151.289993,151.820007,149.119995,149.190002,147.988037,30100
2019-04-17,149.720001,149.720001,145.110001,146.070007,144.893173,9600
2019-04-18,146.009995,146.429993,143.119995,145.449997,144.278152,24800
2019-04-22,144.720001,146.000000,144.440002,145.270004,144.099625,10600
2019-04-23,145.160004,147.889999,145.160004,147.500000,146.311661,6600
2019-04-24,147.750000,147.750000,146.639999,147.020004,145.835526,5900
2019-04-25,146.809998,148.100006,146.220001,148.100006,146.906815,5800
2019-04-26,147.869995,149.350006,147.869995,149.309998,148.107071,3100
2019-04-29,149.309998,150.000000,149.300003,149.479996,148.275696,10800
2019-04-30,149.339996,149.529999,148.449997,149.389999,148.186417,8900
2019-05-01,148.470001,150.619995,148.389999,149.580002,148.374893,10500
2019-05-02,149.300003,150.149994,148.669998,150.149994,148.940292,6600
